Vehicle ID: 10001, Entry Time: 1, Entry Lane: NS, Exit Lane: EW
Vehicle ID: 10053, Entry Time: 37, Entry Lane: WE, Exit Lane: NS
Vehicle ID: 10058, Entry Time: 41, Entry Lane: EW, Exit Lane: SN
Vehicle ID: 10052, Entry Time: 36, Entry Lane: EW, Exit Lane: EW
Vehicle ID: 10060, Entry Time: 43, Entry Lane: EW, Exit Lane: SN
Vehicle ID: 10051, Entry Time: 35, Entry Lane: WE, Exit Lane: EW
Vehicle ID: 10065, Entry Time: 47, Entry Lane: WE, Exit Lane: NS
Vehicle ID: 10066, Entry Time: 47, Entry Lane: EW, Exit Lane: SN
Vehicle ID: 10055, Entry Time: 38, Entry Lane: WE, Exit Lane: WE
Vehicle ID: 10073, Entry Time: 51, Entry Lane: WE, Exit Lane: NS
Vehicle ID: 10071, Entry Time: 50, Entry Lane: WE, Exit Lane: WE
Vehicle ID: 10072, Entry Time: 50, Entry Lane: EW, Exit Lane: EW
Vehicle ID: 10061, Entry Time: 45, Entry Lane: NS, Exit Lane: EW
Vehicle ID: 10064, Entry Time: 47, Entry Lane: SN, Exit Lane: WE
Vehicle ID: 10074, Entry Time: 51, Entry Lane: EW, Exit Lane: NS
Vehicle ID: 10069, Entry Time: 49, Entry Lane: SN, Exit Lane: WE
Vehicle ID: 10059, Entry Time: 42, Entry Lane: SN, Exit Lane: EW
Vehicle ID: 10062, Entry Time: 45, Entry Lane: SN, Exit Lane: SN
Vehicle ID: 10067, Entry Time: 48, Entry Lane: EW, Exit Lane: WE
Vehicle ID: 10068, Entry Time: 49, Entry Lane: NS, Exit Lane: EW
Vehicle ID: 10063, Entry Time: 47, Entry Lane: NS, Exit Lane: NS
Vehicle ID: 10070, Entry Time: 50, Entry Lane: NS, Exit Lane: EW
Vehicle ID: 10075, Entry Time: 52, Entry Lane: SN, Exit Lane: EW
Vehicle ID: 10079, Entry Time: 54, Entry Lane: NS, Exit Lane: WE
Vehicle ID: 10085, Entry Time: 59, Entry Lane: SN, Exit Lane: SN
Vehicle ID: 10077, Entry Time: 53, Entry Lane: WE, Exit Lane: NS
Vehicle ID: 10088, Entry Time: 60, Entry Lane: SN, Exit Lane: SN
Vehicle ID: 10076, Entry Time: 52, Entry Lane: WE, Exit Lane: WE
Vehicle ID: 10078, Entry Time: 53, Entry Lane: EW, Exit Lane: EW
Vehicle ID: 10080, Entry Time: 54, Entry Lane: WE, Exit Lane: NS
Vehicle ID: 10081, Entry Time: 54, Entry Lane: EW, Exit Lane: NS
Vehicle ID: 10083, Entry Time: 56, Entry Lane: WE, Exit Lane: NS
Vehicle ID: 10084, Entry Time: 57, Entry Lane: EW, Exit Lane: NS
Vehicle ID: 10087, Entry Time: 59, Entry Lane: EW, Exit Lane: EW
Vehicle ID: 10091, Entry Time: 66, Entry Lane: WE, Exit Lane: NS
Vehicle ID: 10082, Entry Time: 55, Entry Lane: EW, Exit Lane: SN
Vehicle ID: 10086, Entry Time: 59, Entry Lane: WE, Exit Lane: WE
Vehicle ID: 10093, Entry Time: 67, Entry Lane: WE, Exit Lane: NS
Vehicle ID: 10096, Entry Time: 68, Entry Lane: WE, Exit Lane: NS
Vehicle ID: 10097, Entry Time: 68, Entry Lane: EW, Exit Lane: SN
Vehicle ID: 10094, Entry Time: 67, Entry Lane: EW, Exit Lane: EW
Vehicle ID: 10089, Entry Time: 61, Entry Lane: SN, Exit Lane: WE
Vehicle ID: 10098, Entry Time: 69, Entry Lane: NS, Exit Lane: EW
Vehicle ID: 10099, Entry Time: 69, Entry Lane: EW, Exit Lane: EW
Vehicle ID: 10102, Entry Time: 71, Entry Lane: NS, Exit Lane: EW
Vehicle ID: 10095, Entry Time: 68, Entry Lane: SN, Exit Lane: WE
Vehicle ID: 10090, Entry Time: 66, Entry Lane: SN, Exit Lane: EW
Vehicle ID: 10092, Entry Time: 67, Entry Lane: SN, Exit Lane: SN
Vehicle ID: 10105, Entry Time: 73, Entry Lane: NS, Exit Lane: EW
Vehicle ID: 10103, Entry Time: 72, Entry Lane: NS, Exit Lane: NS
Vehicle ID: 10110, Entry Time: 76, Entry Lane: SN, Exit Lane: SN
Vehicle ID: 10113, Entry Time: 78, Entry Lane: SN, Exit Lane: WE
Vehicle ID: 10100, Entry Time: 70, Entry Lane: SN, Exit Lane: EW
Vehicle ID: 10114, Entry Time: 79, Entry Lane: NS, Exit Lane: EW
Vehicle ID: 10107, Entry Time: 74, Entry Lane: WE, Exit Lane: NS
Vehicle ID: 10106, Entry Time: 73, Entry Lane: EW, Exit Lane: SN
Vehicle ID: 10104, Entry Time: 72, Entry Lane: WE, Exit Lane: WE
Vehicle ID: 10101, Entry Time: 70, Entry Lane: EW, Exit Lane: WE
Vehicle ID: 10109, Entry Time: 75, Entry Lane: WE, Exit Lane: WE
Vehicle ID: 10108, Entry Time: 74, Entry Lane: EW, Exit Lane: EW
Vehicle ID: 10115, Entry Time: 79, Entry Lane: WE, Exit Lane: WE
Vehicle ID: 10123, Entry Time: 85, Entry Lane: WE, Exit Lane: NS
Vehicle ID: 10116, Entry Time: 80, Entry Lane: WE, Exit Lane: WE
Vehicle ID: 10112, Entry Time: 77, Entry Lane: EW, Exit Lane: EW
Vehicle ID: 10111, Entry Time: 76, Entry Lane: EW, Exit Lane: NS
Vehicle ID: 10125, Entry Time: 86, Entry Lane: EW, Exit Lane: SN
Vehicle ID: 10129, Entry Time: 89, Entry Lane: WE, Exit Lane: NS
Vehicle ID: 10118, Entry Time: 82, Entry Lane: SN, Exit Lane: WE
Vehicle ID: 10117, Entry Time: 81, Entry Lane: NS, Exit Lane: EW
